model_id,tag,inputs,output,options,bip_units,bip_price_usd,notes,description
fal-ai/any-llm/enterprise,llm,text,text,,run,0.001,,"Run any large language model with fal, powered by OpenRouter. This endpoint only supports models that do not train on private data. Read more in OpenRouter's Privacy and Logging documentation."
fal-ai/any-llm/vision,vision,image,text,,run,0.01,,Use any vision language model from our selected catalogue (powered by OpenRouter)
fal-ai/aura-flow,text-to-image,text,image,,compute seconds,0.00125,,AuraFlow v0.3 is an open-source flow-based text-to-image generation model that achieves state-of-the-art results on GenEval. The model is currently in beta.
fal-ai/aura-sr,image-to-image,image,image,,compute seconds,0.00125,,Upscale your images with AuraSR.
fal-ai/auto-caption,video-to-video,video,video,,run,0.1,,Automatically generates text captions for your videos from the audio as per text colour/font specifications
fal-ai/bagel,text-to-image,text,image,,run,0.1,,Bagel is a 7B parameter from Bytedance-Seed multimodal model that can generate both text and images.
fal-ai/bagel/edit,image-to-image,image,image,,run,0.1,,Bagel is a 7B parameter multimodal model from Bytedance-Seed that can generate both images and text.
fal-ai/bagel/understand,image-to-json,image,json,,run,0.05,,Bagel is a 7B parameter multimodal model from Bytedance-Seed that can generate both text and images.
fal-ai/ben/v2/image,image-to-image,image,image,,mega pixels,0.025,,A fast and high quality model for image background removal.
fal-ai/ben/v2/video,video-to-video,video,video,,mega pixels,0.001,megapixel or mega video tokens?,A model for high quality and smooth background removal for videos.
fal-ai/birefnet,image-to-image,image,image,,compute seconds,0.00111,,bilateral reference framework (BiRefNet) for high-resolution dichotomous image segmentation (DIS)
fal-ai/birefnet/v2,image-to-image,image,image,,compute seconds,0.00111,,bilateral reference framework (BiRefNet) for high-resolution dichotomous image segmentation (DIS)
fal-ai/bria/background/remove,image-to-image,image,image,,run,0.018,,"Bria RMBG 2.0 enables seamless removal of backgrounds from images, ideal for professional editing tasks. Trained exclusively on licensed data for safe and risk-free commercial use. Model weights for commercial use are available here: https://share-eu1.hsforms.com/2GLpEVQqJTI2Lj7AMYwgfIwf4e04"
fal-ai/bria/background/replace,image-to-image,image,image,,run,0.04,,"Bria Background Replace allows for efficient swapping of backgrounds in images via text prompts or reference image, delivering realistic and polished results. Trained exclusively on licensed data for safe and risk-free commercial use"
fal-ai/bria/eraser,image-to-image,image,image,,run,0.04,,Bria Eraser enables precise removal of unwanted objects from images while maintaining high-quality outputs. Trained exclusively on licensed data for safe and risk-free commercial use. Access the model's source code and weights: https://bria.ai/contact-us
fal-ai/bria/expand,image-to-image,image,image,,run,0.04,,Bria Expand expands images beyond their borders in high quality. Trained exclusively on licensed data for safe and risk-free commercial use. Access the model's source code and weights: https://bria.ai/contact-us
fal-ai/bria/genfill,image-to-image,image,image,,run,0.04,,Bria GenFill enables high-quality object addition or visual transformation. Trained exclusively on licensed data for safe and risk-free commercial use. Access the model's source code and weights: https://bria.ai/contact-us
fal-ai/bria/product-shot,image-to-image,image,image,,run,0.04,,Place any product in any scenery with just a prompt or reference image while maintaining high integrity of the product. Trained exclusively on licensed data for safe and risk-free commercial use and optimized for eCommerce.
fal-ai/bria/reimagine,image-to-image,image,image,,run,0.04,,"Structure Reference allows generating new images while preserving the structure of an input image, guided by text prompts. Perfect for transforming sketches, illustrations, or photos into new illustrations. Trained exclusively on licensed data for safe and risk-free commercial use."
fal-ai/bria/text-to-image/base,text-to-image,text,image,,run,0.04,,"Bria's Text-to-Image model, trained exclusively on licensed data for safe and risk-free commercial use. Available also as source code and weights. For access to weights: https://bria.ai/contact-us"
fal-ai/bria/text-to-image/fast,text-to-image,text,image,,run,0.028,,Bria's Text-to-Image model with perfect harmony of latency and quality. Trained exclusively on licensed data for safe and risk-free commercial use. Available also as source code and weights. For access to weights: https://bria.ai/contact-us
fal-ai/bria/text-to-image/hd,text-to-image,text,image,,run,0.04,,Bria's Text-to-Image model for HD images. Trained exclusively on licensed data for safe and risk-free commercial use. Available also as source code and weights. For access to weights: https://bria.ai/contact-us
fal-ai/bytedance/dreamina/v3.1/text-to-image,text-to-image,text,image,,run,0.03,,"Dreamina showcases superior picture effects, with significant improvements in picture aesthetics, precise and diverse styles, and rich details."
fal-ai/bytedance/omnihuman,image-to-video,image,video,,output seconds,0.14,,"OmniHuman generates video using an image of a human figure paired with an audio file. It produces vivid, high-quality videos where the character’s emotions and movements maintain a strong correlation with the audio."
fal-ai/bytedance/omnihuman/v1.5,image-to-video,image,video,,output seconds,0.16,,"Omnihuman v1.5 is a new and improved version of Omnihuman. It generates video using an image of a human figure paired with an audio file. It produces vivid, high-quality videos where the character’s emotions and movements maintain a strong correlation with the audio."
fal-ai/bytedance/seedance/v1/lite/image-to-video,image-to-video,image,video,,mega video tokens,1.8,,Seedance 1.0 Lite
fal-ai/bytedance/seedance/v1/lite/reference-to-video,image-to-video,image,video,,mega video tokens,1.8,,Seedance lite reference-to-video allows the use of 1 to 4 images as reference to create a high-quality video.
fal-ai/bytedance/seedance/v1/lite/text-to-video,text-to-video,text,video,,mega video tokens,1.8,,Seedance 1.0 Lite
fal-ai/bytedance/seedance/v1/pro/image-to-video,image-to-video,image,video,,mega video tokens,2.5,,"Seedance 1.0 Pro, a high quality video generation model developed by Bytedance."
fal-ai/bytedance/seedance/v1/pro/text-to-video,text-to-video,text,video,,mega video tokens,2.5,,"Seedance 1.0 Pro, a high quality video generation model developed by Bytedance."
fal-ai/bytedance/seededit/v3/edit-image,image-to-image,image,image,,run,0.03,,"SeedEdit 3.0 is an image editing model independently developed by ByteDance. It excels in accurately following editing instructions and effectively preserving image content, especially excelling in handling real images"
fal-ai/bytedance/seedream/v3/text-to-image,text-to-image,text,image,,run,0.03,,Seedream 3.0 is a bilingual (Chinese and English) text-to-image model that excels at text-to-image generation.
fal-ai/bytedance/seedream/v4/edit,image-to-image,image,image,,run,0.03,,"A new-generation image creation model ByteDance, Seedream 4.0 integrates image generation and image editing capabilities into a single, unified architecture."
fal-ai/bytedance/seedream/v4/text-to-image,text-to-image,text,image,,run,0.03,,"A new-generation image creation model ByteDance, Seedream 4.0 integrates image generation and image editing capabilities into a single, unified architecture."
fal-ai/bytedance/video-stylize,image-to-video,image,video,,run,0.23,,Transform your images into stylized videos using this workflow.
fal-ai/calligrapher,image-to-image,image,image,,mega pixels,0.2,,"Use the text and font retaining capabilities of calligrapher to modify texts on your books, clothes and many more."
fal-ai/cartoonify,image-to-image,image,image,,run,0.1,,Transform images into 3D cartoon artwork using an AI model that applies cartoon stylization while preserving the original image's composition and details.
fal-ai/cat-vton,image-to-image,image,image,,compute seconds,0.00111,,Image based high quality Virtual Try-On
fal-ai/ccsr,image-to-image,image,image,,compute seconds,0.00125,,SOTA Image Upscaler
fal-ai/chain-of-zoom,image-to-image,image,image,,run,0.025,,Extreme Super-Resolution via Scale Autoregression and Preference Alignment
fal-ai/chatterbox/speech-to-speech,speech-to-speech,audio,audio,,output minutes,0.015,,"Whether you're working on memes, videos, games, or AI agents, Chatterbox brings your content to life. Use the first tts from resemble ai."
fal-ai/chatterbox/text-to-speech,text-to-speech,text,audio,,input kilo tokens,0.025,,"Whether you're working on memes, videos, games, or AI agents, Chatterbox brings your content to life. Use the first tts from resemble ai."
fal-ai/chatterbox/text-to-speech/multilingual,text-to-speech,text,audio,,input kilo tokens,0.025,,"Whether you're working on memes, videos, games, or AI agents, Chatterbox brings your content to life. Use the first tts from resemble ai."
fal-ai/clarity-upscaler,image-to-image,image,image,,mega pixels,0.03,,Clarity upscaler for upscaling images with high very fidelity.
fal-ai/codeformer,image-to-image,image,image,,mega pixels,0.0021,input or output?,Fix distorted or blurred photos of people with CodeFormer.
fal-ai/cogvideox-5b,text-to-video,text,video,,run,0.2,,Generate videos from prompts using CogVideoX-5B
fal-ai/cogvideox-5b/image-to-video,image-to-video,image,video,,run,0.2,,Generate videos from images and prompts using CogVideoX-5B
fal-ai/cogvideox-5b/video-to-video,video-to-video,video,video,,run,0.2,,Generate videos from videos and prompts using CogVideoX-5B
fal-ai/cogview4,text-to-image,text,image,,output mega pixels,0.1,,Generate high quality images from text prompts using CogView4. Longer text prompts will result in better quality images.
fal-ai/controlnext,video-to-video,video,video,,compute seconds,0.00111,,Animate a reference image with a driving video using ControlNeXt.
fal-ai/creative-upscaler,image-to-image,image,image,,compute seconds,0.00125,,Create creative upscaled images.
fal-ai/csm-1b,text-to-audio,text,audio,,input kilo tokens,0.03,,CSM (Conversational Speech Model) is a speech generation model from Sesame that generates RVQ audio codes from text and audio inputs.
fal-ai/ddcolor,image-to-image,image,image,,mega pixels,0.001,input or output?,Bring colors into old or new black and white photos with DDColor.
fal-ai/decart/lucy-5b/image-to-video,image-to-video,image,video,,run,0.15,,"Lucy-5B is a model that can create 5-second I2V videos in under 5 seconds, achieving >1x RTF end-to-end"
fal-ai/dia-tts,text-to-speech,text,audio,,input kilo tokens,0.04,,Dia directly generates realistic dialogue from transcripts. Audio conditioning enables emotion control. Produces natural nonverbals like laughter and throat clearing.
fal-ai/dia-tts/voice-clone,audio-to-audio,audio,audio,,input kilo tokens,0.04,,Clone dialog voices from a sample audio and generate dialogs from text prompts using the Dia TTS which leverages advanced AI techniques to create high-quality text-to-speech.
fal-ai/diffrhythm,text-to-audio,text,audio,,output seconds,0.001,,DiffRhythm is a blazing fast model for transforming lyrics into full songs. It boasts the capability to generate full songs in less than 30 seconds.
fal-ai/diffusion-edge,text-to-image,text,image,,compute seconds,0.00111,,Diffusion based high quality edge detection
fal-ai/docres,image-to-image,image,image,,mega pixels,0.025,,"Enhance low-resolution, blur, shadowed documents with the superior quality of docres for sharper, clearer results."
fal-ai/docres/dewarp,image-to-image,image,image,,mega pixels,0.03,,"Enhance wraped, folded documents with the superior quality of docres for sharper, clearer results."
fal-ai/drct-super-resolution,image-to-image,image,image,,mega pixels,0.0045,,Upscale your images with DRCT-Super-Resolution.
fal-ai/dreamo,text-to-image,text,image,,output mega pixels,0.05,,DreamO is an image customization framework designed to support a wide range of tasks while facilitating seamless integration of multiple conditions.
fal-ai/dreamshaper,text-to-image,text,image,,compute seconds,0.00111,,Dreamshaper model.
fal-ai/dubbing,video-to-video,audio,video,,output minutes,1,,"This endpoint delivers seamlessly localized videos by generating lip-synced dubs in multiple languages, ensuring natural and immersive multilingual experiences"
fal-ai/dwpose,image-to-image,image,image,,compute seconds,0.0006,,Predict poses from images.
fal-ai/dwpose/video,video-to-video,video,video,,compute seconds,0.0006,,Predict poses from videos.
fal-ai/echomimic-v3,audio-to-video,audio,video,,output seconds,0.2,,"EchoMimic V3 generates a talking avatar model from a picture, audio and text prompt."
fal-ai/elevenlabs/audio-isolation,audio-to-audio,audio,audio,,output minutes,0.1,,Isolate audio tracks using ElevenLabs advanced audio isolation technology.
fal-ai/elevenlabs/sound-effects,text-to-audio,text,audio,,output seconds,0.002,,Generate sound effects using ElevenLabs advanced sound effects model.
fal-ai/elevenlabs/sound-effects/v2,text-to-audio,text,audio,,output seconds,0.002,,Generate sound effects using ElevenLabs advanced sound effects model.
fal-ai/elevenlabs/speech-to-text,speech-to-text,audio,text,,output minutes,0.03,,Generate text from speech using ElevenLabs advanced speech-to-text model.
fal-ai/elevenlabs/text-to-dialogue/eleven-v3,text-to-audio,text,audio,,input kilo tokens,0.1,,Generate realistic audio dialogues using Eleven-v3 from ElevenLabs.
fal-ai/elevenlabs/tts/eleven-v3,text-to-audio,text,audio,,input kilo tokens,0.1,,Generate text-to-speech audio using Eleven-v3 from ElevenLabs.
fal-ai/elevenlabs/tts/multilingual-v2,text-to-audio,text,audio,,input kilo tokens,0.1,,Generate multilingual text-to-speech audio using ElevenLabs TTS Multilingual v2.
fal-ai/elevenlabs/tts/turbo-v2.5,text-to-speech,text,audio,,run,0.05,,Generate high-speed text-to-speech audio using ElevenLabs TTS Turbo v2.5.
fal-ai/era-3d,image-to-image,image,image,,compute seconds,0.00111,,A powerful image to novel multiview model with normals.
fal-ai/esrgan,image-to-image,image,image,,compute seconds,0.00111,,Upscale images by a given factor.
fal-ai/evf-sam,image-to-image,image,image,"positive prompt
positive + negative prompts",run,"0.005
0.01",,"EVF-SAM2 combines natural language understanding with advanced segmentation capabilities, allowing you to precisely mask image regions using intuitive positive and negative text prompts."
fal-ai/f-lite/standard,text-to-image,text,image,,output mega pixels,0.025,,"F Lite is a 10B parameter diffusion model created by Fal and Freepik, trained exclusively on copyright-safe and SFW content."
fal-ai/f-lite/texture,text-to-image,text,image,,output mega pixels,0.025,,"F Lite is a 10B parameter diffusion model created by Fal and Freepik, trained exclusively on copyright-safe and SFW content. This is a high texture density variant of the model."
fal-ai/f5-tts,text-to-audio,text,audio,,run,0.05,,F5 TTS
fal-ai/face-to-sticker,image-to-image,image,image,,compute seconds,0.00111,,Create stickers from faces.
fal-ai/fashn/tryon/v1.5,image-to-image,image,image,,run,0.075,,"FASHN v1.5 delivers precise virtual try-on capabilities, accurately rendering garment details like text and patterns at 576x864 resolution from both on-model and flat-lay photo references."
fal-ai/fashn/tryon/v1.6,image-to-image,image,image,,run,0.075,,"FASHN v1.6 delivers precise virtual try-on capabilities, accurately rendering garment details like text and patterns at 864x1296 resolution from both on-model and flat-lay photo references."
fal-ai/fast-animatediff/text-to-video,text-to-video,text,video,,compute seconds,0.00111,,Animate your ideas!
fal-ai/fast-animatediff/turbo/text-to-video,text-to-video,text,video,,compute seconds,0.00111,,Animate your ideas in lightning speed!
fal-ai/fast-animatediff/turbo/video-to-video,video-to-video,video,video,,compute seconds,0.00111,,Re-animate your videos in lightning speed!
fal-ai/fast-animatediff/video-to-video,video-to-video,video,video,,compute seconds,0.00111,,Re-animate your videos!
fal-ai/fast-fooocus-sdxl,text-to-image,text,image,,compute seconds,0.00111,,Fooocus extreme speed mode as a standalone app.
fal-ai/fast-fooocus-sdxl/image-to-image,text-to-image,text,image,,compute seconds,0.00111,,Fooocus extreme speed mode as a standalone app.
fal-ai/fast-lcm-diffusion,text-to-image,text,image,,compute seconds,0.000575,,Run SDXL at the speed of light
fal-ai/fast-lcm-diffusion/image-to-image,image-to-image,image,image,,compute seconds,0.000575,,Run SDXL at the speed of light
fal-ai/fast-lcm-diffusion/inpainting,image-to-image,image,image,,compute seconds,0.000575,,Run SDXL at the speed of light
fal-ai/fast-lightning-sdxl,text-to-image,text,image,,compute seconds,0.00125,,Run SDXL at the speed of light
fal-ai/fast-lightning-sdxl/image-to-image,image-to-image,image,image,,compute seconds,0.00125,,Run SDXL at the speed of light
fal-ai/fast-lightning-sdxl/inpainting,image-to-image,image,image,,compute seconds,0.00125,,Run SDXL at the speed of light
fal-ai/fast-sdxl,text-to-image,text,image,,compute seconds,0.00111,,Run SDXL at the speed of light
fal-ai/fast-sdxl-controlnet-canny,text-to-image,text,image,,compute seconds,0.00111,,Generate Images with ControlNet.
fal-ai/fast-sdxl-controlnet-canny/image-to-image,image-to-image,image,image,,compute seconds,0.00111,,Generate Images with ControlNet.
fal-ai/fast-sdxl-controlnet-canny/inpainting,image-to-image,image,image,,compute seconds,0.00111,,Generate Images with ControlNet.
fal-ai/fast-sdxl/image-to-image,image-to-image,image,image,,compute seconds,0.00111,,Run SDXL at the speed of light
fal-ai/fast-sdxl/inpainting,image-to-image,image,image,,compute seconds,0.00111,,Run SDXL at the speed of light
fal-ai/fast-svd-lcm/text-to-video,text-to-video,text,video,,compute seconds,0.00111,,Generate short video clips from your images using SVD v1.1 at Lightning Speed
fal-ai/fast-svd/text-to-video,text-to-video,text,video,,compute seconds,0.00111,,Generate short video clips from your prompts using SVD v1.1
fal-ai/ffmpeg-api/compose,video-to-video,audio,video,,output seconds,0.0002,,Compose videos from multiple media sources using FFmpeg API.
fal-ai/ffmpeg-api/extract-frame,image-to-image,image,image,,output seconds,0.0002,,"ffmpeg endpoint for first, middle and last frame extraction from videos"
fal-ai/ffmpeg-api/loudnorm,json,audio,json,,compute seconds,0.00017,,Get EBU R128 loudness normalization from audio files using FFmpeg API.
fal-ai/ffmpeg-api/merge-audio-video,video-to-video,audio,video,,output seconds,0.0002,,Merge videos with standalone audio files or audio from video files.
fal-ai/ffmpeg-api/merge-videos,video-to-video,video,video,,compute seconds,0.00017,,Use ffmpeg capabilities to merge 2 or more videos.
fal-ai/ffmpeg-api/metadata,json,audio,json,,compute seconds,0.00017,,Get encoding metadata from video and audio files using FFmpeg API.
fal-ai/ffmpeg-api/waveform,json,audio,json,,compute seconds,0.00017,,Get waveform data from audio files using FFmpeg API.
fal-ai/film,image-to-image,image,image,,compute seconds,0.0013,,Interpolate images with FILM - Frame Interpolation for Large Motion
fal-ai/film/video,video-to-video,video,video,,compute seconds,0.0013,,Interpolate videos with FILM - Frame Interpolation for Large Motion
fal-ai/finegrain-eraser,image-to-image,image,image,"express
standard
premium",run,"0.18
0.27
0.36",,"Finegrain Eraser removes objects—along with their shadows, reflections, and lighting artifacts—using only natural language, seamlessly filling the scene with contextually accurate content."
fal-ai/finegrain-eraser/bbox,image-to-image,image,image,"express
standard
premium",run,"0.09
0.18
0.27",express price is wrong?,"Finegrain Eraser removes any object selected with a bounding box—along with its shadows, reflections, and lighting artifacts—seamlessly reconstructing the scene with contextually accurate content."
fal-ai/finegrain-eraser/mask,image-to-image,image,image,"express
premium",run,"0.04
0.13",,"Finegrain Eraser removes any object selected with a mask—along with its shadows, reflections, and lighting artifacts—seamlessly reconstructing the scene with contextually accurate content."
fal-ai/florence-2-large/caption,vision,image,json,,compute seconds,0.00125,,Florence-2 is an advanced vision foundation model that uses a prompt-based approach to handle a wide range of vision and vision-language tasks
fal-ai/florence-2-large/caption-to-phrase-grounding,image-to-image,image,image,,compute seconds,0.00125,,Florence-2 is an advanced vision foundation model that uses a prompt-based approach to handle a wide range of vision and vision-language tasks
fal-ai/florence-2-large/dense-region-caption,image-to-image,image,image,,compute seconds,0.00125,,Florence-2 is an advanced vision foundation model that uses a prompt-based approach to handle a wide range of vision and vision-language tasks
fal-ai/florence-2-large/detailed-caption,vision,image,json,,compute seconds,0.00125,,Florence-2 is an advanced vision foundation model that uses a prompt-based approach to handle a wide range of vision and vision-language tasks
fal-ai/florence-2-large/more-detailed-caption,vision,image,json,,compute seconds,0.00125,,Florence-2 is an advanced vision foundation model that uses a prompt-based approach to handle a wide range of vision and vision-language tasks
fal-ai/florence-2-large/object-detection,image-to-image,image,image,,compute seconds,0.00125,,Florence-2 is an advanced vision foundation model that uses a prompt-based approach to handle a wide range of vision and vision-language tasks
fal-ai/florence-2-large/ocr,vision,image,json,,compute seconds,0.00125,,Florence-2 is an advanced vision foundation model that uses a prompt-based approach to handle a wide range of vision and vision-language tasks
fal-ai/florence-2-large/ocr-with-region,image-to-image,image,image,,compute seconds,0.00125,,Florence-2 is an advanced vision foundation model that uses a prompt-based approach to handle a wide range of vision and vision-language tasks
fal-ai/florence-2-large/open-vocabulary-detection,image-to-image,image,image,,compute seconds,0.00125,,Florence-2 is an advanced vision foundation model that uses a prompt-based approach to handle a wide range of vision and vision-language tasks
fal-ai/florence-2-large/referring-expression-segmentation,image-to-image,image,image,,compute seconds,0.00125,,Florence-2 is an advanced vision foundation model that uses a prompt-based approach to handle a wide range of vision and vision-language tasks
fal-ai/florence-2-large/region-proposal,image-to-image,image,image,,compute seconds,0.00125,,Florence-2 is an advanced vision foundation model that uses a prompt-based approach to handle a wide range of vision and vision-language tasks
fal-ai/florence-2-large/region-to-category,vision,image,json,,compute seconds,0.00125,,Florence-2 is an advanced vision foundation model that uses a prompt-based approach to handle a wide range of vision and vision-language tasks
fal-ai/florence-2-large/region-to-description,vision,image,json,,compute seconds,0.00125,,Florence-2 is an advanced vision foundation model that uses a prompt-based approach to handle a wide range of vision and vision-language tasks
fal-ai/florence-2-large/region-to-segmentation,image-to-image,image,image,,compute seconds,0.00125,,Florence-2 is an advanced vision foundation model that uses a prompt-based approach to handle a wide range of vision and vision-language tasks
fal-ai/flowedit,image-to-image,image,image,,compute seconds,0.00125,,The model provides you high quality image editing capabilities.
fal-ai/flux-1/dev,text-to-image,text,image,,output mega pixels,0.025,rounding up to nearest megapixel,FLUX.1 [dev] is a 12 billion parameter flow transformer that generates high-quality images from text. It is suitable for personal and commercial use.
fal-ai/flux-1/dev/image-to-image,image-to-image,image,image,,mega pixels,0.025,rounding up to nearest megapixel,FLUX.1 [dev] is a 12 billion parameter flow transformer that generates high-quality images from text. It is suitable for personal and commercial use.
fal-ai/flux-1/dev/redux,image-to-image,image,image,,mega pixels,0.025,rounding up to nearest megapixel,"FLUX.1 [dev] Redux is a high-performance endpoint for the FLUX.1 [dev] model that enables rapid transformation of existing images, delivering high-quality style transfers and image modifications with the core FLUX capabilities."
fal-ai/flux-1/krea,text-to-image,text,image,,output mega pixels,0.025,rounding up to nearest megapixel,FLUX.1 Krea [dev] is a 12 billion parameter flow transformer that generates high-quality images from text with incredible aesthetics. It is suitable for personal and commercial use.
fal-ai/flux-1/krea/image-to-image,image-to-image,image,image,,mega pixels,0.025,rounding up to nearest megapixel,FLUX.1 Krea [dev] is a 12 billion parameter flow transformer that generates high-quality images from text with incredible aesthetics. It is suitable for personal and commercial use.
fal-ai/flux-1/krea/redux,image-to-image,image,image,,mega pixels,0.025,rounding up to nearest megapixel,"FLUX.1 Krea [dev] Redux is a high-performance endpoint for the FLUX.1 Krea [dev] model that enables rapid transformation of existing images, delivering high-quality style transfers and image modifications with the core FLUX capabilities."
fal-ai/flux-1/schnell,text-to-image,text,image,,output mega pixels,0.003,rounding up to nearest megapixel,Fastest inference in the world for the 12 billion parameter FLUX.1 [schnell] text-to-image model.
fal-ai/flux-1/schnell/redux,image-to-image,image,image,,mega pixels,0.003,,"FLUX.1 [schnell] Redux is a high-performance endpoint for the FLUX.1 [schnell] model that enables rapid transformation of existing images, delivering high-quality style transfers and image modifications with the core FLUX capabilities."
fal-ai/flux-1/srpo,text-to-image,text,image,,output mega pixels,0.025,rounding up to nearest megapixel,FLUX.1 SRPO [dev] is a 12 billion parameter flow transformer that generates high-quality images from text with incredible aesthetics. It is suitable for personal and commercial use.
fal-ai/flux-1/srpo/image-to-image,image-to-image,image,image,,mega pixels,0.025,rounding up to nearest megapixel,FLUX.1 SRPO [dev] is a 12 billion parameter flow transformer that generates high-quality images from text with incredible aesthetics. It is suitable for personal and commercial use.
fal-ai/flux-control-lora-canny,text-to-image,text,image,,output mega pixels,0.04,rounding up to nearest megapixel,"FLUX Control LoRA Canny is a high-performance endpoint that uses a control image to transfer structure to the generated image, using a Canny edge map."
fal-ai/flux-control-lora-canny/image-to-image,image-to-image,image,image,,mega pixels,0.04,rounding up to nearest megapixel,FLUX Control LoRA Canny is a high-performance endpoint that uses a control image using a Canny edge map to transfer structure to the generated image and another initial image to guide color.
fal-ai/flux-control-lora-depth,text-to-image,text,image,,output mega pixels,0.04,rounding up to nearest megapixel,"FLUX Control LoRA Depth is a high-performance endpoint that uses a control image to transfer structure to the generated image, using a depth map."
fal-ai/flux-control-lora-depth/image-to-image,image-to-image,image,image,,mega pixels,0.04,rounding up to nearest megapixel,FLUX Control LoRA Depth is a high-performance endpoint that uses a control image using a depth map to transfer structure to the generated image and another initial image to guide color.
fal-ai/flux-differential-diffusion,image-to-image,image,image,,mega pixels,0.05,rounding up to nearest megapixel,"FLUX.1 Differential Diffusion is a rapid endpoint that enables swift, granular control over image transformations through change maps, delivering fast and precise region-specific modifications while maintaining FLUX.1 [dev]'s high-quality output."
